Example Product Name,Product Details
Product 11," Dell ChromeBook 11.6 Inch HD (1366 x 768) Laptop NoteBook PC, Intel Celeron N2840, Camera, HDMI, WIFI, USB 3.0, SD Card Reader (Renewed)  4.1 out of 5 stars 3,216  Personal Computers $119.99$119.99 $139.00$139.00  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$119.00(9 new offers) "
Product 12," 2021 HP 14"" HD Slim and Light Laptop, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC, Webcam, HDMI, Windows 10 S, 1 Year Office 365 /IFT Accessories (Google Classroom or Zoom Compatible) White  4.2 out of 5 stars 19  Personal Computers $378.60$378.60  Ships to TurkeyMore Buying Choices$319.00(3 used & new offers) "
Product 13, Used Well Chromebook 303c (XE303C12) Lightweight Laptop 11.6 inches 2GB RAM 16GB eMMC Exynos_5250 Dual-Core Chrome OS Ultra-Light Design  3.3 out of 5 stars 21  Personal Computers $152.34$152.34  Ships to TurkeyMore Buying Choices$119.00(4 used & new offers) 
Product 14," HP Chromebook, 2-in-1, 14C-CA0053DX, i3-10110U, 8GB, 64GB, S  4.6 out of 5 stars 569  Electronics $454.90$454.90  Ships to TurkeyMore Buying Choices$389.00(92 used & new offers) "
Product 15," Acer Spin 5 Convertible Laptop, 13.5"" 2K 2256 x 1504 IPS Touch, 10th Gen Intel Core i7-1065G7, 16GB LPDDR4X, 512GB NVMe SSD, Wi-Fi 6, Backlit KB, FPR, Rechargeable Active Stylus, SP513-54N-74V2  4.5 out of 5 stars 643  Personal Computers $1,048.99$1,048.99 $1,099.99$1,099.99  Ships to TurkeyMore Buying Choices$989.00(6 used & new offers) Amazon Certified: Alexa Built-in"
Product 16, Microsoft Xbox Series S Console Plus Entiqi High Speed HDMI…  5.0 out of 5 stars 1  Personal Computers 
Product 17," HP 2020 Newest Pavilion X360 2-in-1 Convertible 14"" HD Touch-Screen Laptop, 10th Gen Intel Core i3-1005G1, 8GB Ram, 128GB Ssd, Wifi, Webcam, Win 10 S  4.5 out of 5 stars 304  Personal Computers $574.00$574.00  Ships to TurkeyMore Buying Choices$379.00(25 used & new offers) "
Product 18," 2021 Newest Dell Inspiron 5000 Series 15.6'' FHD Business Laptop, Intel Core i7-1165G7, 32GB RAM 1TB PCIe SSD, Webcam, Backlit Keyboard, FP Reader, Windows 10 Pro, Silver  4.3 out of 5 stars 39  Personal Computers $1,199.00$1,199.00  "
Product 19," HP EliteBook 840 G3 - 14” FHD, Intel Core i5-6300U 2.4Ghz, 8GB DDR4, 256GB SSD, Bluetooth 4.2, Windows 10 64 (Renewed)  4.0 out of 5 stars 250  Personal Computers $359.00$359.00  Ships to TurkeyOnly 17 left in stock - order soon.More Buying Choices$332.00(16 new offers) "
Product 20," OEM Lenovo ThinkPad E15 Gen 2 15.6"" FHD Display 1920x1080 IPS, Intel Quad Core i7-1165G7, 32GB RAM, 1TB NVMe, Fingerprint, W10P, Business Laptop  4.6 out of 5 stars 129  Personal Computers $1,449.95$1,449.95  Ships to Turkey Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT "
Product 21," Apple 13.3"" MacBook Pro with Touch Bar, Intel Core i5 Quad-Core, 8GB RAM, 128GB SSD - Mid 2019, Space Gray, MUHN2LL/A (Renewed)  4.6 out of 5 stars 446  Personal Computers $819.00$819.00 $866.98$866.98  Ships to TurkeyOnly 2 left in stock - order soon."
Product 22," ASUS ROG Zephyrus G14 14"" VR Ready 120Hz FHD Gaming Laptop,8Core AMD Ryzen 9 4900HS(Beat i7-10750H),16GB RAM,1TB PCIe SSD,Backlight,Wi-Fi 6,USB C,NVIDIA GeForce RTX2060 Max-Q,Win10 (Moonlight White)  4.6 out of 5 stars 184  Moonlight White Also available in Eclipse Gray"
Product 23," 2021 Dell Inspiron 15 3593 15.6"" HD Touchscreen Laptop Computer, Intel Quad-Core i7-1065G7, 12GB RAM, 512GB PCIe SSD, Intel Iris Plus Graphics, MaxxAudio, HD Webcam, Win 10 S  4.4 out of 5 stars 54  Personal Computers $753.00$753.00  Ships to TurkeyOnly 20 left in stock - order soon.More Buying Choices$609.00(27 used & new offers) "
