Example Product Name,Product Details
Product 29," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX X15 Laptop Computers, 15.6"" FHD (1920 x 1080) Display, Intel 4120 up to 2.6 GHz, 8GB DDR4, 256GB SSD Storage, HDMI, Webcam, WI-FI, Windows 10 - Space Grey  3.9 out of 5 stars 43  Personal Computers $359.00$359.00  Ships to Turkey"
Product 30," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LincPlus 14"" Slim Metal Laptop 4GB RAM 64GB eMMC Storage Upgradeable up to 512GB Windows 10 S Intel Celeron N3350 Netbook Computer Full HD Fanless Quiet Notebook  4.6 out of 5 stars 6  Personal Computers $299.00$299.00  $15.00 coupon applied at checkoutSave $15.00  with coupon Ships to Turkey"
Product 31, SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Laptop Computer 14 inch Windows 10 Notebook PC - HAOQIN HaoBook140 Intel Celeron N3350 6GB DDR RAM 128GB SSD FHD IPS Display 5.0GHz WiFi Bluetooth 4.2 HDMI Pink  3.8 out of 5 stars 262  Personal Computers $269.99$269.99 $289.99$289.99  Ships to Turkey
Product 32," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LincPlus 14"" Laptop Computer FHD 1920 x 1080 Display,4GB Memory 64GB eMMC Portable and Lightweight Aluminium Notebook Windows 10 in S Notebook White  4.1 out of 5 stars 336  Personal Computers $269.00$269.00  $15.00 coupon applied at checkoutSave $15.00  with coupon Ships to Turkey"
Product 0," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Laptop 14 Inch, Winnovo Laptop Computer, 6GB RAM, 128GB SSD, Intel Celeron Processor, HD IPS Display, Windows 10 S, HDMI, Touch Numeric Keypad, 5G WiFi  4.8 out of 5 stars 10  Personal Computers $299.99$299.99  $30.00 coupon applied at checkoutSave $30.00  with coupon Ships to Turkey"
Product 1, SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  HAOQIN HaoBook106 10.1 inch 2-in-1 Laptop Computer Touchscreen with Detachable Keyboard Intel Atom 2GB RAM 32GB ROM HD IPS Display Windows 10 Black  3.5 out of 5 stars 68  Personal Computers $189.99$189.99 $209.99$209.99  Ships to Turkey
Product 2," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX Y13 13.3"" 2 in 1 Convertible Laptop, FHD(1920 x 1080) Touchscreen , 8GB DDR4, 256GB SSD, Intel Quad Core N4120, WiFi, Bluetooth, USB-C, Windows 10, Thin and Light All-Metal Body  4.2 out of 5 stars 55  Personal Computers $405.00$405.00  Ships to Turkey"
Product 3," HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0020nr, Ceramic White)  4.6 out of 5 stars 3,312  Personal Computers  Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT "
Product 4," HP Stream 11.6-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (11-ak0020nr, Diamond White)  4.4 out of 5 stars 2,098  Diamond White $238.99$238.99  Ships to TurkeyMore Buying Choices$183.99(63 used & new offers) Price may vary by color"
Product 5," HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb185nr, Royal Blue)  4.5 out of 5 stars 3,219  Royal Blue $277.98$277.98  Ships to TurkeyOnly 8 left in stock - order soon.More Buying Choices$229.98(51 used & new offers) Price may vary by color"
Product 6," Asus L510MA-DS04 15.6"" Celeron N4020 4 GB RAM 128 GB eMMC  5.0 out of 5 stars 3  Personal Computers $275.54$275.54  Ships to TurkeyMore Buying Choices$268.00(12 new offers) "
Product 7," 2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Celeron Processor N4020, 8GB DDR4 RAM, 128GB PCIe SSD, Online Meeting Ready, Webcam, WiFi, HDMI, Bluetooth, Win10 Home, Black  4.4 out of 5 stars 255  Personal Computers $449.00$449.00  Ships to Turkey"
Product 8," Dell XPS 15 - 15 Inch FHD+, Intel Core i7 10th Gen, 16GB Memory, 512GB Solid State Drive, Nvidia GeForce GTX 1650 Ti 4GB GDDR6, Windows 10 Home (Latest Model) - Silver  4.2 out of 5 stars 300  Personal Computers $1,710.00$1,710.00  Ships to TurkeyOnly 6 left in stock - order soon.Amazon Certified: Alexa Built-in Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT "
Product 9," HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0010nr, Mineral Silver)  4.5 out of 5 stars 1,883  Mineral Silver  Climate Pledge FriendlySee 1 certificationWe’ve made it easier to discover products with sustainability certifications, as part of our commitment to help preserve the natural world. Time is fleeting. Learn more PRODUCT CERTIFICATION (1) EPEAT "
Product 10," HP Pavilion 15 Laptop, 11th Gen Intel Core i7-1165G7 Processor, 16 GB RAM, 512 GB SSD Storage, Full HD IPS Micro-Edge Display, Windows 10 Pro, Compact Design, Long Battery Life (15-eg0021nr, 2020)  4.5 out of 5 stars 1,074  Personal Computers $1,190.00$1,190.00  Usually ships within 6 to 10 days.More Buying Choices$1,149.88(7 used & new offers) "
Product 11, Lenovo IdeaPad 3 Intel i5-1035G1 Quad Core 12GB RAM 256GB SSD 15.6-inch Touch Screen Laptop  4.6 out of 5 stars 475  Personal Computers $619.00$619.00 $699.00$699.00  Ships to TurkeyMore Buying Choices$519.99(42 used & new offers) 
Product 12," 2020 Newest Acer Aspire 5 Slim Laptop 15.6"" FHD IPS Display, AMD Ryzen 3 3200u (up to 3.5GHz), Vega 3 Graphics, 8GB RAM DDR4, 256GB PCIe SSD, Backlit KB,WiFi,HDMI, Win10 w/Ghost Manta Accessories  4.5 out of 5 stars 648  Personal Computers $469.00$469.00 $499.99$499.99  Ships to Turkey"
Product 13," Razer Blade 15 Base Gaming Laptop 2020: Intel Core i7-10750H 6-Core, NVIDIA GeForce RTX 2060, 15.6"" FHD 1080p 144Hz, 16GB RAM, 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3, Black  4.6 out of 5 stars 1,053  Black $1,399.99$1,399.99 $1,799.99$1,799.99  Ships to TurkeyMore Buying Choices$1,329.00(14 used & new offers) Price may vary by color"
Product 14," Apple MacBook Pro with Apple M1 Chip (13-inch, 16GB RAM, 256GB SSD Storage) - Space Gray (Latest Model) Z11B000E3  4.9 out of 5 stars 22  Personal Computers $1,430.93$1,430.93  More Buying Choices$1,424.00(3 used & new offers) "
Product 15," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Panasonic Toughbook CF-19 MK4, Intel i5-U540 @1.20GHz, 10.4"" XGA Touchscreen, 4GB, 128GB SSD, WiFi, Bluetooth, Windows 10 Professional (Renewed)  1.8 out of 5 stars 3  Personal Computers $399.00$399.00  Ships to TurkeyOnly 2 left in stock - order soon."
Product 16," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LincPlus 14"" Laptop Computer FHD 1920 x 1080 Display,4GB Memory 64GB eMMC Portable and Lightweight Aluminium Notebook Windows 10 in S Notebook White  4.1 out of 5 stars 336  Personal Computers $269.00$269.00  $15.00 coupon applied at checkoutSave $15.00  with coupon Ships to Turkey"
Product 17, SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Laptop Computer Notebook 14-Inch Windows-10 – WINNOVO WinBook N140 6GB RAM 64GB ROM Intel Celeron Processor HD IPS Display Numeric Touchpad 5G WiFi HDMI (Space Grey)  3.5 out of 5 stars 8  Personal Computers $269.99$269.99 $289.99$289.99  $20.00 coupon applied at checkoutSave $20.00  with coupon Ships to Turkey
Product 18," Lenovo Legion 5 15.6"" Gaming Laptop 144Hz AMD Ryzen 7-4800H 16GB RAM 512GB SSD RTX 2060 6GB Phantom Black - AMD Ryzen 7 4800H Octa-core - NVIDIA GeForce RTX 2060 6GB - (IPS)  4.7 out of 5 stars 100  Personal Computers $1,309.99$1,309.99  Ships to TurkeyOnly 7 left in stock - order soon.More Buying Choices$1,099.99(4 new offers) "
Product 19," 2020 Flagship HP 14 Chromebook Laptop Computer 14"" HD SVA Anti-Glare Display Intel Celeron Processor 4GB DDR4 64GB eMMC Backlit WiFi Webcam Chrome OS (Renewed)  4.5 out of 5 stars 68  Personal Computers $199.00$199.00  Ships to Turkey"
Product 20," Newest HP Pavilion Intel Pentium Silver N5000 4GB 128GB SSD Windows 10 Laptop Red  4.5 out of 5 stars 1,295  Personal Computers $356.98$356.98  Ships to TurkeyMore Buying Choices$294.99(62 used & new offers) "
Product 21," Alienware m15 R3 15.6inch FHD Gaming Laptop (Lunar Light) Intel Core i7-10750H 10th Gen, 16GB DDR4 RAM, 512GB SSD, Nvidia GeForce RTX 2060 6GB GDDR6, Windows 10 Home (AWm15-7272WHT-PUS)  4.4 out of 5 stars 401  Personal Computers $1,799.00$1,799.00  Ships to TurkeyOnly 6 left in stock - order soon.More Buying Choices$1,349.00(8 used & new offers) "
Product 22," 2021 Newest Dell Inspiron 3000 Laptop, 15.6 HD LED-Backlit Display, Intel Pentium Silver N5030 Processor, 16GB DDR4 RAM, 256GB PCIe Solid State Drive, Online Meeting Ready, Webcam, Win10 Home, Black  4.5 out of 5 stars 68  Personal Computers $539.00$539.00  Ships to TurkeyMore Buying Choices$512.05(3 used & new offers) "
Product 23," HP 2-in-1 Convertible Chromebook, 14inch HD Touchscreen, Intel Quad-Core Pentium Silver N5030 Processor Up to 3.10GHz, 4GB Ram, 128GB SSD, Intel UHD Graphics, Webcam, Chrome OS(Renewed (14inch/128GB)  4.7 out of 5 stars 152  Silver $289.99$289.99  Ships to TurkeyOnly 10 left in stock - order soon.Price may vary by color"
Product 24," Samsung Chromebook 4 Chrome OS 11.6"" HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US  4.5 out of 5 stars 2,595  Personal Computers $182.03$182.03 $229.99$229.99  Ships to TurkeyMore Buying Choices$169.99(71 used & new offers) "
Product 25," 2020 Lenovo ThinkPad E15 15.6"" FHD Full HD (1920x1080) Business Laptop (Intel 10th Quad Core i5-10210U, 16GB DDR4 RAM, 512GB PCIe SSD) Type-C, HDMI, Windows 10 Pro + HDMI Cable  4.6 out of 5 stars 179  Personal Computers $984.95$984.95  Ships to TurkeyMore Buying Choices$959.99(5 new offers) "
Product 26," HP Chromebook 11-inch Laptop - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0010nr, 2020 Model)  4.5 out of 5 stars 123  Ash Gray Also available in Blue"
Product 27," HP 15.6 inch HD LED Display Laptop 2020 (Intel Pentium Gold 6405U Processor, 4 GB DDR4 RAM, 128 GB SSD, HDMI, Webcam, WI-FI, Windows 10 S) Scarlet Red (Renewed)  4.5 out of 5 stars 163  Personal Computers $334.50$334.50  Ships to TurkeyOnly 6 left in stock - order soon."
Product 28," 2021 HP Stream 14"" HD Thin and Light Laptop, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC, HDMI, Webcam, WiFi, Bluetooth, 1 Year Microsoft 365, Windows 10 S, Rose Pink, W/ IFT Accessories  4.7 out of 5 stars 142  Personal Computers $408.20$408.20 $499.00$499.00  Ships to TurkeyMore Buying Choices$349.00(3 used & new offers) "
Product 29," ASUS VivoBook 17.3"" FHD IPS LED Backlight Premium Laptop | AMD Ryzen3 3250U | 8GB DDR4 RAM | 256GB SSD | USB Type-C | WiFi | HDMI | Windows 10  4.3 out of 5 stars 85  Personal Computers $504.00$504.00  Ships to TurkeyMore Buying Choices$399.00(29 used & new offers) "
Product 30," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  BMAX X15 Laptop Computers, 15.6"" FHD (1920 x 1080) Display, Intel 4120 up to 2.6 GHz, 8GB DDR4, 256GB SSD Storage, HDMI, Webcam, WI-FI, Windows 10 - Space Grey  3.9 out of 5 stars 43  Personal Computers $359.00$359.00  Ships to Turkey"
Product 31, SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  Laptop Computer 14 inch Windows 10 Notebook PC - HAOQIN HaoBook140 Intel Celeron N3350 6GB DDR RAM 128GB SSD FHD IPS Display 5.0GHz WiFi Bluetooth 4.2 HDMI Pink  3.8 out of 5 stars 262  Personal Computers $269.99$269.99 $289.99$289.99  Ships to Turkey
Product 32," SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  LincPlus 14"" Slim Metal Laptop 4GB RAM 64GB eMMC Storage Upgradeable up to 512GB Windows 10 S Intel Celeron N3350 Netbook Computer Full HD Fanless Quiet Notebook  4.6 out of 5 stars 6  Personal Computers $299.00$299.00  $15.00 coupon applied at checkoutSave $15.00  with coupon Ships to Turkey"
Product 0," Lenovo IdeaPad 3 14"" Laptop, 14.0"" FHD 1920 x 1080 Display, AMD Ryzen 5 3500U Processor, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 8 Graphics, Narrow Bezel, Windows 10, 81W0003QUS, Abyss Blue  4.5 out of 5 stars 3,557  Personal Computers $539.99$539.99  Ships to TurkeyOnly 1 left in stock - order soon.More Buying Choices$389.00(33 used & new offers) "
Product 1," Dell Gaming G3 15 3500, 15.6 inch FHD Laptop - Intel Core i5-10300H, 8GB DDR4 RAM, 512GB SSD, NVIDIA GeForce GTX 1650 Ti 4GB GDDR6 , Windows 10 Home - Eclipse Black (Latest Model)  4.6 out of 5 stars 290  Personal Computers "
Product 2," Lenovo - IdeaPad 3 15"" Laptop - Intel Core i3-1005G1-8GB Memory - 256GB SSD - Platinum Grey - 81WE011UUS  4.7 out of 5 stars 480  Personal Computers $472.00$472.00  Ships to TurkeyMore Buying Choices$414.00(45 used & new offers) "
Product 3," Dell Inspiron 15 3505 Full HD Laptop (FHD), 15.6 inch - AMD Ryzen 5 3450U, 12GB DDR4 RAM, 512GB SSD, AMD Radeon Vega 8 Graphics, Windows Laptop (10) - Black (Latest Model)  4.4 out of 5 stars 34  Personal Computers "
