Ratings,Comments
5,"Ürünü uzun zamandır istiyordum ve gerçekten görüncede çok beğendim. Zaten iPhone kalitesi diye bir şey var ve bu yadsınamaz. Bundan önce android bi telefon kullanıyordum şuan kendileri serviste, gaflete düşüp iPhone o kadar para verilir mi diyerek almıştım. Keşke yapmasaymışım. 
İnternet üzerinden ürünü almak isteyenler benim gibi tereddüt yaşıyorsa yaşamasın😊 orijinal üründür sitesinden koduyla sorgulattım.
Ve ürün gayet güzel paketlenmişti korunaklıydı bu ayrıntı benim için önemliydi teşekkür ediyorum🙏🏻
Alacak olanlara şimdiden hayırlı olsun😊"
5,Hayalimdeki telefondu 3 haftadır kullanıyorum çok memnunum :)
5,Kargo hızlıydı sipariş verdikten 28 saat sonra teslim aldım. Paketleme iyiydi. Bu telefona iPhone 6s Plus 64 gb modelden geçtim. 5 yıl 4 aydır aynı telefonu kullandığım için artık hafıza ve şarj yetmiyordu. 128 gb ve harika batarya süresi var. 12 mini 64 gb ile 11 128 gb arasında kalmıştım. 11 almak ile doğru seçimi yapmışım. Batarya ve hafızası ilaç gibi geldi. Ekran boyutu olarak 6.1 inç diyor eski telefonum 6s plus ekranı 5.5 inç fakat ikisini yan yana koyunca 6s plus daha geniş ve daha uzun duruyor. 11 in kasası 6s plusa göre daha küçük geldi ama memnunum kullanırken kolaylık oluyor. Ayrıca ekranı full olması çok iyi. Sadece ekran kalitesi biraz beni üzdü. 6s plus ile 11 i yan yana koyup ekranlara bakınca 6s plus daha eski bir model olmasına rağmen ekranı daha güzel. 12 serisi en iyi iPhone ekranına sahip. Ama benim için hafıza ve batarya daha ön planda olduğu için 12 mini 64 gb yerine 11 128 gb tercih ettim.
5,"Abi her şey 10 numara, ekranın ppi seviyesi düşük fakat apple nasıl yapıyorsa bu şekilde bile o kadar harika ki. Ayrıca telefon youtube videolarında hdr desteklemekte ki ips ekranla bunu yapabilmesi müthiş bir avantaj ve bu sayede görüntüler inanılmaz oluyor. Batarya harika. Önerim C girişli adaptörünü de hepsiburada aracılığıyla almanız çünkü apple için yetkili satıcı kendileri.

Hadi artılarını sıralayayım;

+Ekran kocaman
+Batarya ömrü harika optimize edilmiş çok yavaş azalıyor
+Kamerası maşallah arkadaşlar. Gece modunu deneyin çok keyifli.
+Tüm işlemlerinizi akıcı bir şekilde halletmeniz mümkün
+ios arayüzü tartışalamayacak düzeyde güzel ve kullanışı çok rahat
+telefonun sesi gayet yüksek ve dengeli
+ses yakınlaştırma özelliği keyifli
+face id akıcı ve rahat çalışıyor
+eski iphoneumdan veri aktarımı rahat(tarayarak yaptım)

Eksilerine gelecek olursak;

-Kamera kısmı birazcık dışarıda olduğu için ya zarar gelirse korkusu var ama kılıf ile halledilebilir
-Telefon kılıf olmadan o kadar güzel görünüyor ki kılıfsız kullanma isteğimden ötürü telefona zarar gelecek diye korkuyorum
-Yanında airpods hediye edilmiyor :D"
5,"iphone 8plustan geçiş yapan biri olarak ilk söyleceğim şarj performansının olumlu anlamda ciddi artışı. Sosyal medya, youtube gibi platformlara gün içinde sık sık giriyorum ve şarjı mutlaka ertesi güne kadar dayanıyor. Aynı şekilde işlemci gücü de farkı hissettiyor kaldı ki 8plus bir gün bile tık demeden hala çalışıyor. Video ve fotoğrafla ile ilgili biraz bile ilgiliyseniz ve rutin yedekleme yapmıyorsanız kesinlikle 128 gb olanı tercih edin. Boyut olarak 8 plustan ortalama 1x1 cm daha küçük diyebilirim ancak ekranı ondan daha büyük. Biraz daha küçük bir telefon arayışınız varsa iphone 11 pronun tam ideal ekran boyutu olduğunu düşünüyorum kendi kullanım çerçevemde. Şarj döngülerine dikkat edip kullanan biri olarak altını tekrar çizeyim. 8plustan sonra oh be dedim gerçekten. Çerçeve kalınlığını ben zerre farketmeden aldım, sonrasında izlediğim incelemelerde diğer 11 modellerinin çerçeve kalınlıklarının daha ince olduğunu gördüm ama söylendiği gibi benim gözüm hiç takılmadı. Elleri büyük biri olarak da klavye deneyiminde bir problem yaşamadan akıcı bir şekilde yazabiliyorum. Gece modunu da gerçekten beğendim. İlgiliyseniz çok yaratıcı işler yapabilirsiniz."
5,"5 yıl ıphone 6s kullandıktan sonra aldım ıphone kalitesi fazla söze gerek yok telefon her anlamda güzel hızlı gönderi için hepsijete teşekkürler, satıcı hepsiburada olduğu için orjinalliği konusunda tereddütsüz almıştım zaten.Ancak şuna dikkat edebilirsiniz aksesuarsız kutuda şarj kablosu geliyor diye yorumlarda okuduğum  için adaptör siparişi verdim (usb girişli klasik adaptör)ama kutudan çıkan kablo hızlı şarj kablosu ve klasik adaptöre uymuyor girişi (bu kabloyla uyumlu adaptörü apple in kendi sitesinde gördüm sadece fiyatı aynı diğeriyle) eğer sadece adaptör siparişi vermeyi düşünüyorsanız uyumlu olmasına dikkat edebilirsiniz ben yine usb kablo lazım olcağı için kablo siparişi de verdim kutudan çıkan kablo bir işe yaramayacak yani keşke klasik kablo koysalarmış o kadar paranın üstüne 400₺ daha veriyoruz şarj için malesef."
5,"Belirtildiği sürede teslim 
Ürün seçtiğimiz ile birebir aynı 
Orjinal 
Teşekkürler HB güvenilirsin"
5,"MobilePlus’a çok ama çok teşekkür ederim. Siparişim gelene kadar irtibat halindeydik. Bir sürü sorular sordum, sağ olsunlar hepsini yılmadan yanıtladılar :)) Kafamdaki tüm soru işaretlerini kaldırdılar. 
Ürün APPLE TÜRKİYE GARANTİLİ. Garantisi 2 yıl. İmei sorguladım sorun yok. %100 sıfır ürün tedirginliğiniz olmasın. 
Satıcı mobileplus Harika paketleme yapmış. Şişme kalın patpata sarılı geldi.
İçinden de 2 paket tek içimlik türk kahvesi ve eyüp sabri tuncerin mini kolonyasını da göndermişler. 10 yıldız! Mobileplustan yorum görmediğim için çok tedirgin olmuştum ama çok yersiz olduğunu da telefonum geldikten sonra anladım. Kendilerine çok teşekkür ediyorum."
5,Uzun süren android kullanımından sonra tekrardan ios a geçiş yaptım bunca zaman boşa android de zaman kaybetmişim değişiklik olsun dedim fakat hiç gerek yokmuş iphone sistemi kalitesi gerçekten bambaşka. Tekrar iPhone a dönmemin en önemli sebebi bataryası ve ekran büyüklüğü oldu şuan gayet yeterli benim için 20 W lık şarj başlığı ile birlikte hızlı şarj oluyor. Renk konusu en ideali beyaz bana kalırsa diğer renkler bir süre sonra sıkıcı gelebilme durumu oluyor. Hepsiburada satıcı dan aldım kargo hızlı fakat bunu dikkate alsınlar dünyanın parasını veriyoruz gelişi güzel paketleme yapılıyor telefonların hepsinde lütfen bunu değiştirin biraz daha önemle paketleme yapılsın.
5,Aksesuarsız kutu içinden bir adet usb kablosu çıkıyor. Aynı gün teslimat oldu teşekkürler hepsi burada
5,"Eşimde de olduğu için ürünü biliyordum.Ürün özelliklerini çoğu yerden bulabilirsiniz, asıl yazma nedenim internet alışverişinden çekinenler için olacak, ürünü hepsiburada satıcısından aldım paketlemesi gayet başarılı telefon kutusunda en ufak deforme yok patpatlarla sarılı dışında da ekstra kutu vardı, birden fazla kredi kartı ödemesi uygulaması  da güzel bir ödeme şekli ayrıca bunun için de teşekkürler, hepsijet ile ürünüm teslim edildi, Antalya merkez ilçesindeyim gayet hızlı geldi bayramda bile teslim olması zaten süper oldu, kargo olayı biraz da şans oturduğunuz yerin hizmeti güzelse güzel değilse değil bu konuda çok bir şey diyemiyeceğim, ürün orjinal sorgulamaları yaptım, benim gibi ilk defa internetten telefon alacaklar hepsiburada satıcısından gönül rahatlığı ile alabilir."
